criterion "Is_bastille"	"who" "Medic2" required
Rule crash_CHATTER_ON_FIRE
{
    criteria ConceptCHATTER_ON_FIRE Is_crash
    response crash_CHATTER_ON_FIRE
}

Response jaeger_CHATTER_ON_FIRE
{
	speak "jaeger.OnFire0"
	speak "jaeger.OnFire1"
}

Rule jaeger_CHATTER_ON_FIRE
{
    criteria ConceptCHATTER_ON_FIRE Is_jaeger
    response jaeger_CHATTER_ON_FIRE
}

Response wolfe_CHATTER_ON_FIRE
{
	speak "wolfe.OnFire0"
	speak "wolfe.OnFire1"
}

Rule wolfe_CHATTER_ON_FIRE
{
    criteria ConceptCHATTER_ON_FIRE Is_wolfe
    response wolfe_CHATTER_ON_FIRE
}

Response vegas_CHATTER_ON_FIRE
{
	speak "vegas.OnFire0"
	speak "vegas.OnFire1"
}

Rule vegas_CHATTER_ON_FIRE
{
    criteria ConceptCHATTER_ON_FIRE Is_vegas
    response vegas_CHATTER_ON_FIRE
}

Response sarge_CHATTER_ON_FIRE
{
	speak "sarge.OnFire0"
	speak "sarge.OnFire1"
	speak "sarge.OnFire2"
}

Rule sarge_CHATTER_ON_FIRE
{
    criteria ConceptCHATTER_ON_FIRE Is_sarge
    response sarge_CHATTER_ON_FIRE
}

Response bastille_CHATTER_ON_FIRE
{
	speak "bastille.OnFire0"
}

Rule bastille_CHATTER_ON_FIRE
{
    criteria ConceptCHATTER_ON_FIRE Is_bastille
    response bastille_CHATTER_ON_FIRE
}

Response wildcat_CHATTER_ON_FIRE
{
	speak "wildcat.OnFire0"
}

Rule wildcat_CHATTER_ON_FIRE
{
    criteria ConceptCHATTER_ON_FIRE Is_wildcat
    response wildcat_CHATTER_ON_FIRE
}

Response vegas_CHATTER_SCANNER_MULTIPLE
{
	speak "vegas.ScannerMultiple0"
	speak "vegas.ScannerMultiple1"
	speak "vegas.ScannerMultiple2"
	speak "vegas.ScannerMultiple3"
	speak "vegas.ScannerMultiple4"
}

Rule vegas_CHATTER_SCANNER_MULTIPLE
{
    criteria ConceptCHATTER_SCANNER_MULTIPLE Is_vegas
    response vegas_CHATTER_SCANNER_MULTIPLE
}

Response crash_CHATTER_SCANNER_MULTIPLE
{
	speak "crash.ScannerMultiple0"
	speak "crash.ScannerMultiple1"
	speak "crash.ScannerMultiple2"
	speak "crash.ScannerMultiple3"
}

Rule crash_CHATTER_SCANNER_MULTIPLE
{
    criteria ConceptCHATTER_SCANNER_MULTIPLE Is_crash
    response crash_CHATTER_SCANNER_MULTIPLE
}

Response wildcat_CHATTER_COMPLIMENTS_CRASH
{
	speak "wildcat.ComplimentsCrash0"
}

Rule wildcat_CHATTER_COMPLIMENTS_CRASH
{
    criteria ConceptCHATTER_COMPLIMENTS_CRASH Is_wildcat
    response wildcat_CHATTER_COMPLIMENTS_CRASH
}

Response faith_CHATTER_WILDCAT
{
	speak "faith.CallWildcat0"
	speak "faith.CallWildcat1"
}

Rule faith_CHATTER_WILDCAT
{
    criteria ConceptCHATTER_WILDCAT Is_faith
    response faith_CHATTER_WILDCAT
}

Response crash_CHATTER_WILDCAT
{
	speak "crash.CallWildcat0"
	speak "crash.CallWildcat1"
}

Rule crash_CHATTER_WILDCAT
{
    criteria ConceptCHATTER_WILDCAT Is_crash
    response crash_CHATTER_WILDCAT
}

Response jaeger_CHATTER_WILDCAT
{
	speak "jaeger.CallWildcat0"
	speak "jaeger.CallWildcat1"
}

Rule jaeger_CHATTER_WILDCAT
{
    criteria ConceptCHATTER_WILDCAT Is_jaeger
    response jaeger_CHATTER_WILDCAT
}

Response wolfe_CHATTER_WILDCAT
{
	speak "wolfe.CallWildcat0"
	speak "wolfe.CallWildcat1"
	speak "wolfe.CallWildcat2"
	speak "wolfe.CallWildcat3"
	speak "wolfe.CallWildcat4"
	speak "wolfe.CallWildcat5"
}

Rule wolfe_CHATTER_WILDCAT
{
    criteria ConceptCHATTER_WILDCAT Is_wolfe
    response wolfe_CHATTER_WILDCAT
}

Response vegas_CHATTER_WILDCAT
{
	speak "vegas.CallWildcat0"
	speak "vegas.CallWildcat1"
}

Rule vegas_CHATTER_WILDCAT
{
    criteria ConceptCHATTER_WILDCAT Is_vegas
    response vegas_CHATTER_WILDCAT
}

Response sarge_CHATTER_WILDCAT
{
	speak "sarge.CallWildcat0"
	speak "sarge.CallWildcat1"
}

Rule sarge_CHATTER_WILDCAT
{
    criteria ConceptCHATTER_WILDCAT Is_sarge
    response sarge_CHATTER_WILDCAT
}

Response bastille_CHATTER_WILDCAT
{
	speak "bastille.CallWildcat0"
	speak "bastille.CallWildcat1"
}

Rule bastille_CHATTER_WILDCAT
{
    criteria ConceptCHATTER_WILDCAT Is_bastille
    response bastille_CHATTER_WILDCAT
}

Response wolfe_CHATTER_IMPATIENCE
{
	speak "wolfe.Impatience0"
	speak "wolfe.Impatience1"
	speak "wolfe.Impatience2"
}

Rule wolfe_CHATTER_IMPATIENCE
{
    criteria ConceptCHATTER_IMPATIENCE Is_wolfe
    response wolfe_CHATTER_IMPATIENCE
}

Response vegas_CHATTER_IMPATIENCE
{
	speak "vegas.Impatience0"
}

Rule vegas_CHATTER_IMPATIENCE
{
    criteria ConceptCHATTER_IMPATIENCE Is_vegas
    response vegas_CHATTER_IMPATIENCE
}

Response sarge_CHATTER_IMPATIENCE
{
	speak "sarge.Impatience0"
	speak "sarge.Impatience1"
	speak "sarge.Impatience2"
}

Rule sarge_CHATTER_IMPATIENCE
{
    criteria ConceptCHATTER_IMPATIENCE Is_sarge
    response sarge_CHATTER_IMPATIENCE
}

Response wildcat_CHATTER_IMPATIENCE
{
	speak "wildcat.Impatience0"
}

Rule wildcat_CHATTER_IMPATIENCE
{
    criteria ConceptCHATTER_IMPATIENCE Is_wildcat
    response wildcat_CHATTER_IMPATIENCE
}

Response faith_CHATTER_BREACHED_DOOR
{
	speak "faith.BreachedDoor0"
	speak "faith.BreachedDoor1"
}

Rule faith_CHATTER_BREACHED_DOOR
{
    criteria ConceptCHATTER_BREACHED_DOOR Is_faith
    response faith_CHATTER_BREACHED_DOOR
}

Response crash_CHATTER_BREACHED_DOOR
{
	speak "crash.BreachedDoor0"
	speak "crash.BreachedDoor1"
	speak "crash.BreachedDoor2"
}

Rule crash_CHATTER_BREACHED_DOOR
{
    criteria ConceptCHATTER_BREACHED_DOOR Is_crash
    response crash_CHATTER_BREACHED_DOOR
}

Response jaeger_CHATTER_BREACHED_DOOR
{
	speak "jaeger.BreachedDoor0"
	speak "jaeger.BreachedDoor1"
	speak "jaeger.BreachedDoor2"
}

Rule jaeger_CHATTER_BREACHED_DOOR
{
    criteria ConceptCHATTER_BREACHED_DOOR Is_jaeger
    response jaeger_CHATTER_BREACHED_DOOR
}

Response wolfe_CHATTER_BREACHED_DOOR
{
	speak "wolfe.BreachedDoor0"
	speak "wolfe.BreachedDoor1"
	speak "wolfe.BreachedDoor2"
	speak "wolfe.BreachedDoor3"
}

Rule wolfe_CHATTER_BREACHED_DOOR
{
    criteria ConceptCHATTER_BREACHED_DOOR Is_wolfe
    response wolfe_CHATTER_BREACHED_DOOR
}

Response vegas_CHATTER_BREACHED_DOOR
{
	speak "vegas.BreachedDoor0"
	speak "vegas.BreachedDoor1"
	speak "vegas.BreachedDoor2"
}

Rule vegas_CHATTER_BREACHED_DOOR
{
    criteria ConceptCHATTER_BREACHED_DOOR Is_vegas
    response vegas_CHATTER_BREACHED_DOOR
}

Response sarge_CHATTER_BREACHED_DOOR
{
	speak "sarge.BreachedDoor0"
	speak "sarge.BreachedDoor1"
	speak "sarge.BreachedDoor2"
}

Rule sarge_CHATTER_BREACHED_DOOR
{
    criteria ConceptCHATTER_BREACHED_DOOR Is_sarge
    response sarge_CHATTER_BREACHED_DOOR
}

Response bastille_CHATTER_BREACHED_DOOR
{
	speak "bastille.BreachedDoor0"
	speak "bastille.BreachedDoor1"
	speak "bastille.BreachedDoor2"
	speak "bastille.BreachedDoor3"
}

Rule bastille_CHATTER_BREACHED_DOOR
{
    criteria ConceptCHATTER_BREACHED_DOOR Is_bastille
    response bastille_CHATTER_BREACHED_DOOR
}

Response wildcat_CHATTER_BREACHED_DOOR
{
	speak "wildcat.BreachedDoor0"
	speak "wildcat.BreachedDoor1"
}

Rule wildcat_CHATTER_BREACHED_DOOR
{
    criteria ConceptCHATTER_BREACHED_DOOR Is_wildcat
    response wildcat_CHATTER_BREACHED_DOOR
}

Response sarge_CHATTER_BIG_ALIEN_REPLY
{
	speak "sarge.BigAlienDeadReply0"
}

Rule sarge_CHATTER_BIG_ALIEN_REPLY
{
    criteria ConceptCHATTER_BIG_ALIEN_REPLY Is_sarge
    response sarge_CHATTER_BIG_ALIEN_REPLY
}

Response crash_CHATTER_BIG_ALIEN_REPLY
{
	speak "crash.BigAlienDeadReply0"
}

Rule crash_CHATTER_BIG_ALIEN_REPLY
{
    criteria ConceptCHATTER_BIG_ALIEN_REPLY Is_crash
    response crash_CHATTER_BIG_ALIEN_REPLY
}

Response faith_CHATTER_THANKS
{
	speak "faith.Thanks0"
	speak "faith.Thanks1"
	speak "faith.Thanks2"
}

Rule faith_CHATTER_THANKS
{
    criteria ConceptCHATTER_THANKS Is_faith
    response faith_CHATTER_THANKS
}

Response crash_CHATTER_THANKS
{
	speak "crash.Thanks0"
	speak "crash.Thanks1"
}

Rule crash_CHATTER_THANKS
{
    criteria ConceptCHATTER_THANKS Is_crash
    response crash_CHATTER_THANKS
}

Response jaeger_CHATTER_THANKS
{
	speak "jaeger.Thanks0"
	speak "jaeger.Thanks1"
}

Rule jaeger_CHATTER_THANKS
{
    criteria ConceptCHATTER_THANKS Is_jaeger
    response jaeger_CHATTER_THANKS
}

Response wolfe_CHATTER_THANKS
{
	speak "wolfe.Thanks0"
	speak "wolfe.Thanks1"
	speak "wolfe.Thanks2"
	speak "wolfe.Thanks3"
	speak "wolfe.Thanks4"
	speak "wolfe.Thanks5"
}

Rule wolfe_CHATTER_THANKS
{
    criteria ConceptCHATTER_THANKS Is_wolfe
    response wolfe_CHATTER_THANKS
}

Response vegas_CHATTER_THANKS
{
	speak "vegas.Thanks0"
	speak "vegas.Thanks1"
	speak "vegas.Thanks2"
}

Rule vegas_CHATTER_THANKS
{
    criteria ConceptCHATTER_THANKS Is_vegas
    response vegas_CHATTER_THANKS
}

Response sarge_CHATTER_THANKS
{
	speak "sarge.Thanks0"
	speak "sarge.Thanks1"
}

Rule sarge_CHATTER_THANKS
{
    criteria ConceptCHATTER_THANKS Is_sarge
    response sarge_CHATTER_THANKS
}

Response bastille_CHATTER_THANKS
{
	speak "bastille.Thanks0"
	speak "bastille.Thanks1"
}

Rule bastille_CHATTER_THANKS
{
    criteria ConceptCHATTER_THANKS Is_bastille
    response bastille_CHATTER_THANKS
}

Response wildcat_CHATTER_THANKS
{
	speak "wildcat.Thanks0"
	speak "wildcat.Thanks1"
}

Rule wildcat_CHATTER_THANKS
{
    criteria ConceptCHATTER_THANKS Is_wildcat
    response wildcat_CHATTER_THANKS
}

Response faith_CHATTER_MEDIC_COMPLAIN
{
	speak "faith.MedicComplain0"
	speak "faith.MedicComplain1"
}

Rule faith_CHATTER_MEDIC_COMPLAIN
{
    criteria ConceptCHATTER_MEDIC_COMPLAIN Is_faith
    response faith_CHATTER_MEDIC_COMPLAIN
}

Response bastille_CHATTER_MEDIC_COMPLAIN
{
	speak "bastille.MedicComplain0"
	speak "bastille.MedicComplain1"
}

Rule bastille_CHATTER_MEDIC_COMPLAIN
{
    criteria ConceptCHATTER_MEDIC_COMPLAIN Is_bastille
    response bastille_CHATTER_MEDIC_COMPLAIN
}

Response wolfe_CHATTER_WOLFE_BEST_REPLY
{
	speak "wolfe.WolfeBestReply0"
	speak "wolfe.WolfeBestReply1"
	speak "wolfe.WolfeBestReply2"
	speak "wolfe.WolfeBestReply3"
	speak "wolfe.WolfeBestReply4"
	speak "wolfe.WolfeBestReply5"
	speak "wolfe.WolfeBestReply6"
	speak "wolfe.WolfeBestReply7"
	speak "wolfe.WolfeBestReply8"
}

Rule wolfe_CHATTER_WOLFE_BEST_REPLY
{
    criteria ConceptCHATTER_WOLFE_BEST_REPLY Is_wolfe
    response wolfe_CHATTER_WOLFE_BEST_REPLY
}

Response wildcat_CHATTER_WOLFE_BEST_REPLY
{
	speak "wildcat.WolfeBestReply0"
	speak "wildcat.WolfeBestReply1"
}

Rule wildcat_CHATTER_WOLFE_BEST_REPLY
{
    criteria ConceptCHATTER_WOLFE_BEST_REPLY Is_wildcat
    response wildcat_CHATTER_WOLFE_BEST_REPLY
}

Response faith_CHATTER_WOLFE
{
	speak "faith.CallWolfe0"
	speak "faith.CallWolfe1"
}

Rule faith_CHATTER_WOLFE
{
    criteria ConceptCHATTER_WOLFE Is_faith
    response faith_CHATTER_WOLFE
}

Response crash_CHATTER_WOLFE
{
	speak "crash.CallWolfe0"
	speak "crash.CallWolfe1"
}

Rule crash_CHATTER_WOLFE
{
    criteria ConceptCHATTER_WOLFE Is_crash
    response crash_CHATTER_WOLFE
}

Response jaeger_CHATTER_WOLFE
{
	speak "jaeger.CallWolfe0"
	speak "jaeger.CallWolfe1"
}

Rule jaeger_CHATTER_WOLFE
{
    criteria ConceptCHATTER_WOLFE Is_jaeger
    response jaeger_CHATTER_WOLFE
}

Response vegas_CHATTER_WOLFE
{
	speak "vegas.CallWolfe0"
	speak "vegas.CallWolfe1"
}

Rule vegas_CHATTER_WOLFE
{
    criteria ConceptCHATTER_WOLFE Is_vegas
    response vegas_CHATTER_WOLFE
}

Response sarge_CHATTER_WOLFE
{
	speak "sarge.CallWolfe0"
	speak "sarge.CallWolfe1"
}

Rule sarge_CHATTER_WOLFE
{
    criteria ConceptCHATTER_WOLFE Is_sarge
    response sarge_CHATTER_WOLFE
}

Response bastille_CHATTER_WOLFE
{
	speak "bastille.CallWolfe0"
	speak "bastille.CallWolfe1"
}

Rule bastille_CHATTER_WOLFE
{
    criteria ConceptCHATTER_WOLFE Is_bastille
    response bastille_CHATTER_WOLFE
}

Response wildcat_CHATTER_WOLFE
{
	speak "wildcat.CallWolfe0"
	speak "wildcat.CallWolfe1"
}

Rule wildcat_CHATTER_WOLFE
{
    criteria ConceptCHATTER_WOLFE Is_wildcat
    response wildcat_CHATTER_WOLFE
}

Response faith_CHATTER_WATCH_OUT
{
	speak "faith.WatchOut0"
	speak "faith.WatchOut1"
	speak "faith.WatchOut2"
	speak "faith.WatchOut3"
}

Rule faith_CHATTER_WATCH_OUT
{
    criteria ConceptCHATTER_WATCH_OUT Is_faith
    response faith_CHATTER_WATCH_OUT
}

Response crash_CHATTER_WATCH_OUT
{
	speak "crash.WatchOut0"
	speak "crash.WatchOut1"
	speak "crash.WatchOut2"
}

Rule crash_CHATTER_WATCH_OUT
{
    criteria ConceptCHATTER_WATCH_OUT Is_crash
    response crash_CHATTER_WATCH_OUT
}

Response jaeger_CHATTER_WATCH_OUT
{
	speak "jaeger.WatchOut0"
	speak "jaeger.WatchOut1"
	speak "jaeger.WatchOut2"
}

Rule jaeger_CHATTER_WATCH_OUT
{
    criteria ConceptCHATTER_WATCH_OUT Is_jaeger
    response jaeger_CHATTER_WATCH_OUT
}

Response wolfe_CHATTER_WATCH_OUT
{
	speak "wolfe.WatchOut0"
	speak "wolfe.WatchOut1"
	speak "wolfe.WatchOut2"
}

Rule wolfe_CHATTER_WATCH_OUT
{
    criteria ConceptCHATTER_WATCH_OUT Is_wolfe
    response wolfe_CHATTER_WATCH_OUT
}

Response vegas_CHATTER_WATCH_OUT
{
	speak "vegas.WatchOut0"
	speak "vegas.WatchOut1"
	speak "vegas.WatchOut2"
}

Rule vegas_CHATTER_WATCH_OUT
{
    criteria ConceptCHATTER_WATCH_OUT Is_vegas
    response vegas_CHATTER_WATCH_OUT
}

Response sarge_CHATTER_WATCH_OUT
{
	speak "sarge.WatchOut0"
	speak "sarge.WatchOut1"
	speak "sarge.WatchOut2"
	speak "sarge.WatchOut3"
}

Rule sarge_CHATTER_WATCH_OUT
{
    criteria ConceptCHATTER_WATCH_OUT Is_sarge
    response sarge_CHATTER_WATCH_OUT
}

Response bastille_CHATTER_WATCH_OUT
{
	speak "bastille.WatchOut0"
	speak "bastille.WatchOut1"
	speak "bastille.WatchOut2"
	speak "bastille.WatchOut3"
}

Rule bastille_CHATTER_WATCH_OUT
{
    criteria ConceptCHATTER_WATCH_OUT Is_bastille
    response bastille_CHATTER_WATCH_OUT
}

Response wildcat_CHATTER_WATCH_OUT
{
	speak "wildcat.WatchOut0"
	speak "wildcat.WatchOut1"
	speak "wildcat.WatchOut2"
}

Rule wildcat_CHATTER_WATCH_OUT
{
    criteria ConceptCHATTER_WATCH_OUT Is_wildcat
    response wildcat_CHATTER_WATCH_OUT
}

Response wildcat_CHATTER_WILDCAT_KILL
{
	speak "wildcat.WildcatKillStart0"
	speak "wildcat.WildcatKillStart1"
}

Rule wildcat_CHATTER_WILDCAT_KILL
{
    criteria ConceptCHATTER_WILDCAT_KILL Is_wildcat
    response wildcat_CHATTER_WILDCAT_KILL
}

Response vegas_CHATTER_TEQUILA_REPLY_WOLFE
{
	speak "vegas.TequilaReplyWolfe0"
}

Rule vegas_CHATTER_TEQUILA_REPLY_WOLFE
{
    criteria ConceptCHATTER_TEQUILA_REPLY_WOLFE Is_vegas
    response vegas_CHATTER_TEQUILA_REPLY_WOLFE
}

Response faith_CHATTER_INFESTED
{
	speak "faith.BeenInfested0"
	speak "faith.BeenInfested1"
	speak "faith.BeenInfested2"
	speak "faith.BeenInfested3"
	speak "faith.BeenInfested4"
}

Rule faith_CHATTER_INFESTED
{
    criteria ConceptCHATTER_INFESTED Is_faith
    response faith_CHATTER_INFESTED
}

Response crash_CHATTER_INFESTED
{
	speak "crash.BeenInfested0"
	speak "crash.BeenInfested1"
	speak "crash.BeenInfested3"
}

Rule crash_CHATTER_INFESTED
{
    criteria ConceptCHATTER_INFESTED Is_crash
    response crash_CHATTER_INFESTED
}

Response jaeger_CHATTER_INFESTED
{
	speak "jaeger.BeenInfested0"
	speak "jaeger.BeenInfested1"
	speak "jaeger.BeenInfested2"
	speak "jaeger.BeenInfested3"
}

Rule jaeger_CHATTER_INFESTED
{
    criteria ConceptCHATTER_INFESTED Is_jaeger
    response jaeger_CHATTER_INFESTED
}

Response wolfe_CHATTER_INFESTED
{
	speak "wolfe.BeenInfested0"
	speak "wolfe.BeenInfested2"
	speak "wolfe.BeenInfested3"
	speak "wolfe.BeenInfested4"
	speak "wolfe.BeenInfested5"
	speak "wolfe.BeenInfested6"
	speak "wolfe.BeenInfested8"
	speak "wolfe.BeenInfested9"
	speak "wolfe.BeenInfested10"
}

Rule wolfe_CHATTER_INFESTED
{
    criteria ConceptCHATTER_INFESTED Is_wolfe
    response wolfe_CHATTER_INFESTED
}

Response vegas_CHATTER_INFESTED
{
	speak "vegas.BeenInfested0"
	speak "vegas.BeenInfested1"
	speak "vegas.BeenInfested2"
	speak "vegas.BeenInfested4"
}

Rule vegas_CHATTER_INFESTED
{
    criteria ConceptCHATTER_INFESTED Is_vegas
    response vegas_CHATTER_INFESTED
}

Response sarge_CHATTER_INFESTED
{
	speak "sarge.BeenInfested0"
	speak "sarge.BeenInfested1"
	speak "sarge.BeenInfested2"
	speak "sarge.BeenInfested3"
}

Rule sarge_CHATTER_INFESTED
{
    criteria ConceptCHATTER_INFESTED Is_sarge
    response sarge_CHATTER_INFESTED
}

Response bastille_CHATTER_INFESTED
{
	speak "bastille.BeenInfested0"
	speak "bastille.BeenInfested1"
	speak "bastille.BeenInfested2"
}

Rule bastille_CHATTER_INFESTED
{
    criteria ConceptCHATTER_INFESTED Is_bastille
    response bastille_CHATTER_INFESTED
}

Response wildcat_CHATTER_INFESTED
{
	speak "wildcat.BeenInfested0"
	speak "wildcat.BeenInfested1"
	speak "wildcat.BeenInfested2"
}

Rule wildcat_CHATTER_INFESTED
{
    criteria ConceptCHATTER_INFESTED Is_wildcat
    response wildcat_CHATTER_INFESTED
}

Response faith_CHATTER_MAD_FIRING
{
	speak "faith.MadFiring0"
	speak "faith.MadFiring1"
	speak "faith.MadFiring2"
	speak "faith.MadFiring3"
}

Rule faith_CHATTER_MAD_FIRING
{
    criteria ConceptCHATTER_MAD_FIRING Is_faith
    response faith_CHATTER_MAD_FIRING
}

Response crash_CHATTER_MAD_FIRING
{
	speak "crash.MadFiring0"
	speak "crash.MadFiring1"
	speak "crash.MadFiring3"
	speak "crash.MadFiring4"
}

Rule crash_CHATTER_MAD_FIRING
{
    criteria ConceptCHATTER_MAD_FIRING Is_crash
    response crash_CHATTER_MAD_FIRING
}

Response jaeger_CHATTER_MAD_FIRING
{
	speak "jaeger.MadFiring0"
	speak "jaeger.MadFiring1"
	speak "jaeger.MadFiring2"
	speak "jaeger.MadFiring3"
	speak "jaeger.MadFiring4"
}

Rule jaeger_CHATTER_MAD_FIRING
{
    criteria ConceptCHATTER_MAD_FIRING Is_jaeger
    response jaeger_CHATTER_MAD_FIRING
}

Response wolfe_CHATTER_MAD_FIRING
{
	speak "wolfe.MadFiring0"
	speak "wolfe.MadFiring1"
	speak "wolfe.MadFiring2"
	speak "wolfe.MadFiring3"
	speak "wolfe.MadFiring4"
	speak "wolfe.MadFiring5"
	speak "wolfe.MadFiring6"
	speak "wolfe.MadFiring7"
	speak "wolfe.MadFiring8"
	speak "wolfe.MadFiring9"
	speak "wolfe.MadFiring10"
	speak "wolfe.MadFiring11"
}

Rule wolfe_CHATTER_MAD_FIRING
{
    criteria ConceptCHATTER_MAD_FIRING Is_wolfe
    response wolfe_CHATTER_MAD_FIRING
}

Response vegas_CHATTER_MAD_FIRING
{
	speak "vegas.MadFiring0"
	speak "vegas.MadFiring2"
	speak "vegas.MadFiring3"
}

Rule vegas_CHATTER_MAD_FIRING
{
    criteria ConceptCHATTER_MAD_FIRING Is_vegas
    response vegas_CHATTER_MAD_FIRING
}

Response sarge_CHATTER_MAD_FIRING
{
	speak "sarge.MadFiring0"
	speak "sarge.MadFiring1"
	speak "sarge.MadFiring2"
}

Rule sarge_CHATTER_MAD_FIRING
{
    criteria ConceptCHATTER_MAD_FIRING Is_sarge
    response sarge_CHATTER_MAD_FIRING
}

Response bastille_CHATTER_MAD_FIRING
{
	speak "bastille.MadFiring0"
	speak "bastille.MadFiring1"
	speak "bastille.MadFiring2"
}

Rule bastille_CHATTER_MAD_FIRING
{
    criteria ConceptCHATTER_MAD_FIRING Is_bastille
    response bastille_CHATTER_MAD_FIRING
}

Response wildcat_CHATTER_MAD_FIRING
{
	speak "wildcat.MadFiring0"
	speak "wildcat.MadFiring1"
	speak "wildcat.MadFiring2"
}

Rule wildcat_CHATTER_MAD_FIRING
{
    criteria ConceptCHATTER_MAD_FIRING Is_wildcat
    response wildcat_CHATTER_MAD_FIRING
}

Response crash_CHATTER_CRASH_COMPLAIN
{
	speak "crash.CrashComplain0"
}

Rule crash_CHATTER_CRASH_COMPLAIN
{
    criteria ConceptCHATTER_CRASH_COMPLAIN Is_crash
    response crash_CHATTER_CRASH_COMPLAIN
}

Response jaeger_CHATTER_COMPLIMENTS_SARGE
{
	speak "jaeger.ComplimentsSarge0"
}

Rule jaeger_CHATTER_COMPLIMENTS_SARGE
{
    criteria ConceptCHATTER_COMPLIMENTS_SARGE Is_jaeger
    response jaeger_CHATTER_COMPLIMENTS_SARGE
}

Response vegas_CHATTER_FIRST_BLOOD_START
{
	speak "vegas.FirstBloodStart0"
}

Rule vegas_CHATTER_FIRST_BLOOD_START
{
    criteria ConceptCHATTER_FIRST_BLOOD_START Is_vegas
    response vegas_CHATTER_FIRST_BLOOD_START
}

Response crash_CHATTER_CRASH_COMPLAIN_REPLY
{
	speak "crash.CrashComplainReply0"
}

Rule crash_CHATTER_CRASH_COMPLAIN_REPLY
{
    criteria ConceptCHATTER_CRASH_COMPLAIN_REPLY Is_crash
    response crash_CHATTER_CRASH_COMPLAIN_REPLY
}

Response bastille_CHATTER_CRASH_COMPLAIN_REPLY
{
	speak "bastille.CrashComplainReply0"
}

Rule bastille_CHATTER_CRASH_COMPLAIN_REPLY
{
    criteria ConceptCHATTER_CRASH_COMPLAIN_REPLY Is_bastille
    response bastille_CHATTER_CRASH_COMPLAIN_REPLY
}

Response faith_CHATTER_NO_AMMO
{
	speak "faith.NoAmmo0"
	speak "faith.NoAmmo1"
}

Rule faith_CHATTER_NO_AMMO
{
    criteria ConceptCHATTER_NO_AMMO Is_faith
    response faith_CHATTER_NO_AMMO
}

Response crash_CHATTER_NO_AMMO
{
	speak "crash.NoAmmo0"
}

Rule crash_CHATTER_NO_AMMO
{
    criteria ConceptCHATTER_NO_AMMO Is_crash
    response crash_CHATTER_NO_AMMO
}

Response jaeger_CHATTER_NO_AMMO
{
	speak "jaeger.NoAmmo0"
	speak "jaeger.NoAmmo1"
}

Rule jaeger_CHATTER_NO_AMMO
{
    criteria ConceptCHATTER_NO_AMMO Is_jaeger
    response jaeger_CHATTER_NO_AMMO
}

Response wolfe_CHATTER_NO_AMMO
{
	speak "wolfe.NoAmmo0"
	speak "wolfe.NoAmmo1"
}

Rule wolfe_CHATTER_NO_AMMO
{
    criteria ConceptCHATTER_NO_AMMO Is_wolfe
    response wolfe_CHATTER_NO_AMMO
}

Response vegas_CHATTER_NO_AMMO
{
	speak "vegas.NoAmmo0"
	speak "vegas.NoAmmo1"
}

Rule vegas_CHATTER_NO_AMMO
{
    criteria ConceptCHATTER_NO_AMMO Is_vegas
    response vegas_CHATTER_NO_AMMO
}

Response sarge_CHATTER_NO_AMMO
{
	speak "sarge.NoAmmo0"
	speak "sarge.NoAmmo1"
	speak "sarge.NoAmmo2"
	speak "sarge.NoAmmo3"
}

Rule sarge_CHATTER_NO_AMMO
{
    criteria ConceptCHATTER_NO_AMMO Is_sarge
    response sarge_CHATTER_NO_AMMO
}

Response bastille_CHATTER_NO_AMMO
{
	speak "bastille.NoAmmo0"
	speak "bastille.NoAmmo1"
	speak "bastille.NoAmmo2"
	speak "bastille.NoAmmo3"
	speak "bastille.NoAmmo4"
}

Rule bastille_CHATTER_NO_AMMO
{
    criteria ConceptCHATTER_NO_AMMO Is_bastille
    response bastille_CHATTER_NO_AMMO
}

Response wildcat_CHATTER_NO_AMMO
{
	speak "wildcat.NoAmmo0"
	speak "wildcat.NoAmmo1"
	speak "wildcat.NoAmmo2"
	speak "wildcat.NoAmmo3"
}

Rule wildcat_CHATTER_NO_AMMO
{
    criteria ConceptCHATTER_NO_AMMO Is_wildcat
    response wildcat_CHATTER_NO_AMMO
}

Response wolfe_CHATTER_WOLFE_KILL_REPLY_BEHIND
{
	speak "wolfe.WolfeKillReplyBehind0"
	speak "wolfe.WolfeKillReplyBehind1"
}

Rule wolfe_CHATTER_WOLFE_KILL_REPLY_BEHIND
{
    criteria ConceptCHATTER_WOLFE_KILL_REPLY_BEHIND Is_wolfe
    response wolfe_CHATTER_WOLFE_KILL_REPLY_BEHIND
}

Response wildcat_CHATTER_WOLFE_KILL_REPLY_BEHIND
{
	speak "wildcat.WolfeKillReplyBehind0"
	speak "wildcat.WolfeKillReplyBehind1"
}

Rule wildcat_CHATTER_WOLFE_KILL_REPLY_BEHIND
{
    criteria ConceptCHATTER_WOLFE_KILL_REPLY_BEHIND Is_wildcat
    response wildcat_CHATTER_WOLFE_KILL_REPLY_BEHIND
}

Response faith_CHATTER_FOLLOW_ME
{
	speak "faith.FollowMe0"
	speak "faith.FollowMe1"
	speak "faith.FollowMe2"
